interval_start_utc,,net_load,renewables,renewables_to_load_ratio,load.load,load_forecast.load_forecast,fuel_mix.coal_and_lignite,fuel_mix.hydro,fuel_mix.nuclear,fuel_mix.power_storage,fuel_mix.solar,fuel_mix.wind,fuel_mix.natural_gas,fuel_mix.other,battery_discharge_to_load_ratio
2024-05-04 11:00:00,,27070.5333333333,14760.25,0.353412347531838,41768,41604.3895696004,3967.93333333333,62.7833333333333,3716.75833333333,221.358333333333,18.9083333333333,14678.5583333333,19066.1083333333,0,0.0053027184101
2024-05-04 12:00:00,,27979.5,14722.3166666667,0.345179656898827,42637.8333333333,42595.1116383871,3990.325,63.9833333333334,3716.21666666667,248.658333333333,1215.025,13443.3083333333,19986.8333333333,0,0.005848658905611
2024-05-04 13:00:00,,27380.8333333333,17302.8083333333,0.387822443756801,44603.0833333333,44369.2852121989,4065.71666666667,80.5583333333333,3716.28333333333,142.225,4699.63333333333,12522.6166666667,19417.9416666667,0,0.003184317777821
2024-05-04 14:00:00,,28089.4833333333,18977.8,0.403666483394132,46987.0833333333,46690.6217219035,4212.81666666667,80.2,3717.10833333333,54.2916666666667,7326.95833333333,11570.6416666667,20086.9083333333,0,0.001154513493775
2024-05-04 15:00:00,,26587.5,22647.2166666667,0.460861404238208,49126.5833333333,48831.3517659505,4144.6,108.133333333333,3716.45,153.741666666667,9811,12728.0833333333,18490.55,0,0.003134068789018
2024-05-04 16:00:00,,27231.8083333333,23854.2083333333,0.468121552402918,50961.9166666667,50801.1994578044,3999.94166666667,124.1,3716.11666666667,113.9,11165.325,12564.7833333333,19305.3083333333,0,0.002231691430486
2024-05-04 17:00:00,,27573.3583333333,25031.8916666667,0.476817555912581,52494.5,52459.4251403809,4021.46666666667,110.75,3715.375,117.791666666667,11782.525,13138.6166666667,19669.1083333333,0,0.002244155577422
2024-05-04 18:00:00,,27719.9083333333,26457.2833333333,0.489283564578392,54070.5,53808.5351028442,4009.88333333333,106.691666666667,3716.475,73.5583333333333,12131.1,14219.4916666667,19872.825,0,0.001356834008242
2024-05-04 19:00:00,,29262.4833333333,25938.7916666667,0.470619094160858,55122,55272.5030390422,4040.61666666667,79.275,3714.96666666667,91.1083333333333,10843.5916666667,15015.925,21401.65,0,0.001655575889668
2024-05-04 20:00:00,,31422.95,24387.5916666667,0.437491755047118,55748.25,55765.5853296916,4383.45833333333,62.2916666666667,3714.11666666667,96.8666666666667,8691.26666666667,15634.0333333333,23228.175,0,0.00174176880675
